Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-05-08,01:00-01:30,Fixed,ATM,Offline,On-Us,392171645,397684070,-5512425,4769,897,5666
2026-05-08,01:00-01:30,Fixed,ATM,Offline,Off-Us,460314208,465760325,-5446117,3020,3043,6063
2026-05-08,01:00-01:30,Fixed,BCMS,Online,On-Us,529752881,534028094,-4275213,3828,3797,7625
2026-05-08,01:00-01:30,Fixed,BCMS,Online,Off-Us,417825199,425125172,-7299973,3361,3246,6607
2026-05-08,01:00-01:30,Fixed,ENET,Online,On-Us,306303784,313744050,-7440266,4002,2746,6748
2026-05-08,01:00-01:30,Fixed,ENET,Online,Off-Us,227328802,234842722,-7513920,1008,3984,4992
2026-05-08,01:00-01:30,Fixed,TELL,Offline,On-Us,232223212,241325311,-9102099,4174,4991,9165
2026-05-08,01:00-01:30,Fixed,TELL,Offline,Off-Us,300546603,305554012,-5007409,4669,1440,6109
2026-05-08,01:00-01:30,Saving,ATM,Offline,On-Us,565481295,572916132,-7434837,3655,1022,4677
2026-05-08,01:00-01:30,Saving,ATM,Offline,Off-Us,522756395,527972058,-5215663,3179,1101,4280
2026-05-08,01:00-01:30,Saving,BCMS,Online,On-Us,745809735,750497963,-4688228,4204,4388,8592
2026-05-08,01:00-01:30,Saving,BCMS,Online,Off-Us,316247763,322241392,-5993629,4465,4163,8628
2026-05-08,01:00-01:30,Saving,ENET,Online,On-Us,504727630,513455648,-8728018,2035,2817,4852
2026-05-08,01:00-01:30,Saving,ENET,Online,Off-Us,610865637,619213790,-8348153,1594,1312,2906
2026-05-08,01:00-01:30,Saving,TELL,Offline,On-Us,243313579,252244149,-8930570,4571,1837,6408
2026-05-08,01:00-01:30,Saving,TELL,Offline,Off-Us,403850776,413115055,-9264279,4804,3765,8569
2026-05-08,01:00-01:30,Current,ATM,Offline,On-Us,732703718,736928064,-4224346,1451,2315,3766
2026-05-08,01:00-01:30,Current,ATM,Offline,Off-Us,743363229,751784334,-8421105,4029,2956,6985
2026-05-08,01:00-01:30,Current,BCMS,Online,On-Us,333903149,341726115,-7822966,1646,3398,5044
2026-05-08,01:00-01:30,Current,BCMS,Online,Off-Us,409119564,414808442,-5688878,4134,2946,7080
2026-05-08,01:00-01:30,Current,ENET,Online,On-Us,792115505,798549720,-6434215,2667,2776,5443
2026-05-08,01:00-01:30,Current,ENET,Online,Off-Us,257883961,263270951,-5386990,4700,1449,6149
2026-05-08,01:00-01:30,Current,TELL,Offline,On-Us,672496124,679518761,-7022637,1645,4087,5732
2026-05-08,01:00-01:30,Current,TELL,Offline,Off-Us,620635128,627933193,-7298065,4086,2572,6658
