Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-04-30,07:30-08:00,Fixed,ATM,Offline,On-Us,81566,939475,-857909,38,81,119
2026-04-30,07:30-08:00,Fixed,ATM,Offline,Off-Us,536561,846446,-309885,237,228,465
2026-04-30,07:30-08:00,Fixed,BCMS,Online,On-Us,697137,494601,202536,179,165,344
2026-04-30,07:30-08:00,Fixed,BCMS,Online,Off-Us,524681,796925,-272244,72,134,206
2026-04-30,07:30-08:00,Fixed,ENET,Online,On-Us,587354,412349,175005,205,208,413
2026-04-30,07:30-08:00,Fixed,ENET,Online,Off-Us,740551,497526,243025,193,170,363
2026-04-30,07:30-08:00,Fixed,TELL,Offline,On-Us,879387,547341,332046,174,282,456
2026-04-30,07:30-08:00,Fixed,TELL,Offline,Off-Us,81998,926192,-844194,121,96,217
2026-04-30,07:30-08:00,Saving,ATM,Offline,On-Us,991418,664555,326863,154,84,238
2026-04-30,07:30-08:00,Saving,ATM,Offline,Off-Us,880673,458482,422191,298,237,535
2026-04-30,07:30-08:00,Saving,BCMS,Online,On-Us,513900,728864,-214964,140,72,212
2026-04-30,07:30-08:00,Saving,BCMS,Online,Off-Us,585005,943468,-358463,234,189,423
2026-04-30,07:30-08:00,Saving,ENET,Online,On-Us,186659,26524,160135,199,249,448
2026-04-30,07:30-08:00,Saving,ENET,Online,Off-Us,808184,702586,105598,189,228,417
2026-04-30,07:30-08:00,Saving,TELL,Offline,On-Us,224164,646944,-422780,298,108,406
2026-04-30,07:30-08:00,Saving,TELL,Offline,Off-Us,401035,392383,8652,103,16,119
2026-04-30,07:30-08:00,Current,ATM,Offline,On-Us,205349,463555,-258206,196,280,476
2026-04-30,07:30-08:00,Current,ATM,Offline,Off-Us,204355,5887,198468,170,179,349
2026-04-30,07:30-08:00,Current,BCMS,Online,On-Us,98679,955295,-856616,200,140,340
2026-04-30,07:30-08:00,Current,BCMS,Online,Off-Us,527217,966329,-439112,18,150,168
2026-04-30,07:30-08:00,Current,ENET,Online,On-Us,35156,678657,-643501,152,256,408
2026-04-30,07:30-08:00,Current,ENET,Online,Off-Us,417641,46050,371591,141,151,292
2026-04-30,07:30-08:00,Current,TELL,Offline,On-Us,655643,60006,595637,27,252,279
2026-04-30,07:30-08:00,Current,TELL,Offline,Off-Us,637058,662951,-25893,244,262,506
