Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-04-30,06:00-06:30,Fixed,ATM,Offline,On-Us,878862,561720,317142,214,128,342
2026-04-30,06:00-06:30,Fixed,ATM,Offline,Off-Us,304283,840208,-535925,94,202,296
2026-04-30,06:00-06:30,Fixed,BCMS,Online,On-Us,347605,433476,-85871,122,294,416
2026-04-30,06:00-06:30,Fixed,BCMS,Online,Off-Us,768956,260784,508172,18,29,47
2026-04-30,06:00-06:30,Fixed,ENET,Online,On-Us,886552,21001,865551,281,63,344
2026-04-30,06:00-06:30,Fixed,ENET,Online,Off-Us,525860,417267,108593,260,32,292
2026-04-30,06:00-06:30,Fixed,TELL,Offline,On-Us,164569,296841,-132272,166,23,189
2026-04-30,06:00-06:30,Fixed,TELL,Offline,Off-Us,241177,662233,-421056,138,28,166
2026-04-30,06:00-06:30,Saving,ATM,Offline,On-Us,285693,786343,-500650,75,204,279
2026-04-30,06:00-06:30,Saving,ATM,Offline,Off-Us,687106,420217,266889,79,149,228
2026-04-30,06:00-06:30,Saving,BCMS,Online,On-Us,903855,89041,814814,51,48,99
2026-04-30,06:00-06:30,Saving,BCMS,Online,Off-Us,529016,757190,-228174,224,21,245
2026-04-30,06:00-06:30,Saving,ENET,Online,On-Us,15457,778727,-763270,289,88,377
2026-04-30,06:00-06:30,Saving,ENET,Online,Off-Us,100198,771619,-671421,212,110,322
2026-04-30,06:00-06:30,Saving,TELL,Offline,On-Us,871861,635113,236748,171,176,347
2026-04-30,06:00-06:30,Saving,TELL,Offline,Off-Us,445804,537243,-91439,23,165,188
2026-04-30,06:00-06:30,Current,ATM,Offline,On-Us,287361,481197,-193836,115,62,177
2026-04-30,06:00-06:30,Current,ATM,Offline,Off-Us,277107,687919,-410812,253,203,456
2026-04-30,06:00-06:30,Current,BCMS,Online,On-Us,305385,450399,-145014,59,124,183
2026-04-30,06:00-06:30,Current,BCMS,Online,Off-Us,426068,588247,-162179,154,258,412
2026-04-30,06:00-06:30,Current,ENET,Online,On-Us,298239,951756,-653517,285,270,555
2026-04-30,06:00-06:30,Current,ENET,Online,Off-Us,256496,400984,-144488,20,265,285
2026-04-30,06:00-06:30,Current,TELL,Offline,On-Us,762899,412766,350133,202,290,492
2026-04-30,06:00-06:30,Current,TELL,Offline,Off-Us,749290,113565,635725,243,125,368
