Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-05-03,23:30-24:00,Fixed,ATM,Offline,On-Us,650559,429914,220645,243,24,267
2026-05-03,23:30-24:00,Fixed,ATM,Offline,Off-Us,431692,715053,-283361,293,125,418
2026-05-03,23:30-24:00,Fixed,BCMS,Online,On-Us,229062,344600,-115538,124,67,191
2026-05-03,23:30-24:00,Fixed,BCMS,Online,Off-Us,34457,109973,-75516,211,66,277
2026-05-03,23:30-24:00,Fixed,ENET,Online,On-Us,178056,366901,-188845,26,69,95
2026-05-03,23:30-24:00,Fixed,ENET,Online,Off-Us,420848,813769,-392921,138,150,288
2026-05-03,23:30-24:00,Fixed,TELL,Offline,On-Us,766909,613523,153386,29,52,81
2026-05-03,23:30-24:00,Fixed,TELL,Offline,Off-Us,204144,237420,-33276,130,150,280
2026-05-03,23:30-24:00,Saving,ATM,Offline,On-Us,285104,225909,59195,255,225,480
2026-05-03,23:30-24:00,Saving,ATM,Offline,Off-Us,873705,505446,368259,117,151,268
2026-05-03,23:30-24:00,Saving,BCMS,Online,On-Us,559393,833162,-273769,63,155,218
2026-05-03,23:30-24:00,Saving,BCMS,Online,Off-Us,47805,865625,-817820,300,290,590
2026-05-03,23:30-24:00,Saving,ENET,Online,On-Us,835864,724938,110926,147,56,203
2026-05-03,23:30-24:00,Saving,ENET,Online,Off-Us,763751,65091,698660,48,233,281
2026-05-03,23:30-24:00,Saving,TELL,Offline,On-Us,517602,629665,-112063,122,30,152
2026-05-03,23:30-24:00,Saving,TELL,Offline,Off-Us,77503,263240,-185737,290,57,347
2026-05-03,23:30-24:00,Current,ATM,Offline,On-Us,108768,419909,-311141,17,155,172
2026-05-03,23:30-24:00,Current,ATM,Offline,Off-Us,606435,686243,-79808,54,23,77
2026-05-03,23:30-24:00,Current,BCMS,Online,On-Us,49870,889633,-839763,171,93,264
2026-05-03,23:30-24:00,Current,BCMS,Online,Off-Us,937041,956145,-19104,31,88,119
2026-05-03,23:30-24:00,Current,ENET,Online,On-Us,555364,589112,-33748,225,224,449
2026-05-03,23:30-24:00,Current,ENET,Online,Off-Us,970802,124853,845949,218,289,507
2026-05-03,23:30-24:00,Current,TELL,Offline,On-Us,34582,784324,-749742,49,31,80
2026-05-03,23:30-24:00,Current,TELL,Offline,Off-Us,258419,306161,-47742,85,73,158
