Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-03-31,06:30-07:00,Fixed,ATM,Offline,On-Us,637015,516565,120450,43,298,341
2026-03-31,06:30-07:00,Fixed,ATM,Offline,Off-Us,947104,497438,449666,58,179,237
2026-03-31,06:30-07:00,Fixed,BCMS,Online,On-Us,337370,143259,194111,142,267,409
2026-03-31,06:30-07:00,Fixed,BCMS,Online,Off-Us,338055,283544,54511,26,40,66
2026-03-31,06:30-07:00,Fixed,ENET,Online,On-Us,13984,111797,-97813,36,285,321
2026-03-31,06:30-07:00,Fixed,ENET,Online,Off-Us,698309,633182,65127,179,148,327
2026-03-31,06:30-07:00,Fixed,TELL,Offline,On-Us,312340,271292,41048,109,165,274
2026-03-31,06:30-07:00,Fixed,TELL,Offline,Off-Us,408493,545217,-136724,291,296,587
2026-03-31,06:30-07:00,Saving,ATM,Offline,On-Us,793245,911963,-118718,297,234,531
2026-03-31,06:30-07:00,Saving,ATM,Offline,Off-Us,695178,711006,-15828,218,35,253
2026-03-31,06:30-07:00,Saving,BCMS,Online,On-Us,255005,296025,-41020,200,275,475
2026-03-31,06:30-07:00,Saving,BCMS,Online,Off-Us,625921,655774,-29853,27,111,138
2026-03-31,06:30-07:00,Saving,ENET,Online,On-Us,583027,687314,-104287,149,237,386
2026-03-31,06:30-07:00,Saving,ENET,Online,Off-Us,533527,787486,-253959,189,279,468
2026-03-31,06:30-07:00,Saving,TELL,Offline,On-Us,601665,623183,-21518,108,188,296
2026-03-31,06:30-07:00,Saving,TELL,Offline,Off-Us,578153,703394,-125241,263,226,489
2026-03-31,06:30-07:00,Current,ATM,Offline,On-Us,912030,780316,131714,135,168,303
2026-03-31,06:30-07:00,Current,ATM,Offline,Off-Us,789065,584086,204979,168,162,330
2026-03-31,06:30-07:00,Current,BCMS,Online,On-Us,287436,313920,-26484,109,234,343
2026-03-31,06:30-07:00,Current,BCMS,Online,Off-Us,299749,353764,-54015,279,275,554
2026-03-31,06:30-07:00,Current,ENET,Online,On-Us,559908,477087,82821,181,272,453
2026-03-31,06:30-07:00,Current,ENET,Online,Off-Us,173042,765211,-592169,57,76,133
2026-03-31,06:30-07:00,Current,TELL,Offline,On-Us,579180,588566,-9386,238,105,343
2026-03-31,06:30-07:00,Current,TELL,Offline,Off-Us,460910,829743,-368833,214,67,281
