Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-03-31,06:00-06:30,Fixed,ATM,Offline,On-Us,619289,638876,-19587,296,205,501
2026-03-31,06:00-06:30,Fixed,ATM,Offline,Off-Us,620464,264079,356385,187,197,384
2026-03-31,06:00-06:30,Fixed,BCMS,Online,On-Us,386600,411869,-25269,58,99,157
2026-03-31,06:00-06:30,Fixed,BCMS,Online,Off-Us,632633,608378,24255,148,245,393
2026-03-31,06:00-06:30,Fixed,ENET,Online,On-Us,530581,346231,184350,51,292,343
2026-03-31,06:00-06:30,Fixed,ENET,Online,Off-Us,657456,387429,270027,189,55,244
2026-03-31,06:00-06:30,Fixed,TELL,Offline,On-Us,270913,435694,-164781,288,160,448
2026-03-31,06:00-06:30,Fixed,TELL,Offline,Off-Us,778646,475766,302880,269,209,478
2026-03-31,06:00-06:30,Saving,ATM,Offline,On-Us,129875,235317,-105442,131,166,297
2026-03-31,06:00-06:30,Saving,ATM,Offline,Off-Us,133730,421949,-288219,99,87,186
2026-03-31,06:00-06:30,Saving,BCMS,Online,On-Us,694468,527842,166626,209,97,306
2026-03-31,06:00-06:30,Saving,BCMS,Online,Off-Us,582176,11142922,-10560746,218,157,375
2026-03-31,06:00-06:30,Saving,ENET,Online,On-Us,742623,391327,351296,106,211,317
2026-03-31,06:00-06:30,Saving,ENET,Online,Off-Us,487699,371063,116636,270,188,458
2026-03-31,06:00-06:30,Saving,TELL,Offline,On-Us,747771,585576,162195,175,126,301
2026-03-31,06:00-06:30,Saving,TELL,Offline,Off-Us,299091,435784,-136693,238,268,506
2026-03-31,06:00-06:30,Current,ATM,Offline,On-Us,661993,822103,-160110,242,106,348
2026-03-31,06:00-06:30,Current,ATM,Offline,Off-Us,419158,258112,161046,154,170,324
2026-03-31,06:00-06:30,Current,BCMS,Online,On-Us,471076,572178,-101102,173,81,254
2026-03-31,06:00-06:30,Current,BCMS,Online,Off-Us,794842,510631,284211,296,257,553
2026-03-31,06:00-06:30,Current,ENET,Online,On-Us,362887,505906,-143019,218,145,363
2026-03-31,06:00-06:30,Current,ENET,Online,Off-Us,429250,682454,-253204,185,277,462
2026-03-31,06:00-06:30,Current,TELL,Offline,On-Us,422497,546296,-123799,300,224,524
2026-03-31,06:00-06:30,Current,TELL,Offline,Off-Us,364177,818360,-454183,117,93,210
