Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-03-31,02:30-03:00,Fixed,ATM,Offline,On-Us,532913,681113,-148200,241,243,484
2026-03-31,02:30-03:00,Fixed,ATM,Offline,Off-Us,495801,960513,-464712,156,103,259
2026-03-31,02:30-03:00,Fixed,BCMS,Online,On-Us,366836,385267,-18431,59,141,200
2026-03-31,02:30-03:00,Fixed,BCMS,Online,Off-Us,474872,669764,-194892,172,31,203
2026-03-31,02:30-03:00,Fixed,ENET,Online,On-Us,356704,652336,-295632,150,91,241
2026-03-31,02:30-03:00,Fixed,ENET,Online,Off-Us,575632,629865,-54233,87,154,241
2026-03-31,02:30-03:00,Fixed,TELL,Offline,On-Us,760639,395322,365317,53,45,98
2026-03-31,02:30-03:00,Fixed,TELL,Offline,Off-Us,1071511,444806,626705,139,212,351
2026-03-31,02:30-03:00,Saving,ATM,Offline,On-Us,585410,569166,16244,266,136,402
2026-03-31,02:30-03:00,Saving,ATM,Offline,Off-Us,608516,595642,12874,188,212,400
2026-03-31,02:30-03:00,Saving,BCMS,Online,On-Us,704324,409949,294375,44,211,255
2026-03-31,02:30-03:00,Saving,BCMS,Online,Off-Us,143080,432278,-289198,12,196,208
2026-03-31,02:30-03:00,Saving,ENET,Online,On-Us,394146,989602,-595456,111,232,343
2026-03-31,02:30-03:00,Saving,ENET,Online,Off-Us,584925,932748,-347823,205,161,366
2026-03-31,02:30-03:00,Saving,TELL,Offline,On-Us,460681,752509,-291828,261,32,293
2026-03-31,02:30-03:00,Saving,TELL,Offline,Off-Us,619223,435557,183666,12,278,290
2026-03-31,02:30-03:00,Current,ATM,Offline,On-Us,676883,268342,408541,101,42,143
2026-03-31,02:30-03:00,Current,ATM,Offline,Off-Us,553281,538414,14867,141,240,381
2026-03-31,02:30-03:00,Current,BCMS,Online,On-Us,363970,585661,-221691,179,285,464
2026-03-31,02:30-03:00,Current,BCMS,Online,Off-Us,492168,705029,-212861,36,247,283
2026-03-31,02:30-03:00,Current,ENET,Online,On-Us,511987,374849,137138,211,161,372
2026-03-31,02:30-03:00,Current,ENET,Online,Off-Us,216748,403559,-186811,238,15,253
2026-03-31,02:30-03:00,Current,TELL,Offline,On-Us,811732,424621,387111,255,212,467
2026-03-31,02:30-03:00,Current,TELL,Offline,Off-Us,1054624,614072,440552,186,48,234
