Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-03-31,04:30-05:00,Fixed,ATM,Offline,On-Us,499039,571936,-72897,101,96,197
2026-03-31,04:30-05:00,Fixed,ATM,Offline,Off-Us,542413,507516,34897,183,195,378
2026-03-31,04:30-05:00,Fixed,BCMS,Online,On-Us,284994,530383,-245389,204,76,280
2026-03-31,04:30-05:00,Fixed,BCMS,Online,Off-Us,198760,650365,-451605,121,25,146
2026-03-31,04:30-05:00,Fixed,ENET,Online,On-Us,401635,482448,-80813,55,114,169
2026-03-31,04:30-05:00,Fixed,ENET,Online,Off-Us,659188,605669,53519,135,99,234
2026-03-31,04:30-05:00,Fixed,TELL,Offline,On-Us,160571,656433,-495862,50,91,141
2026-03-31,04:30-05:00,Fixed,TELL,Offline,Off-Us,259902,339363,-79461,159,290,449
2026-03-31,04:30-05:00,Saving,ATM,Offline,On-Us,374922,612552,-237630,129,209,338
2026-03-31,04:30-05:00,Saving,ATM,Offline,Off-Us,451709,756161,-304452,252,40,292
2026-03-31,04:30-05:00,Saving,BCMS,Online,On-Us,424144,434682,-10538,23,146,169
2026-03-31,04:30-05:00,Saving,BCMS,Online,Off-Us,458376,592452,-134076,90,87,177
2026-03-31,04:30-05:00,Saving,ENET,Online,On-Us,707106,587017,120089,261,249,510
2026-03-31,04:30-05:00,Saving,ENET,Online,Off-Us,603827,700616,-96789,278,35,313
2026-03-31,04:30-05:00,Saving,TELL,Offline,On-Us,792222,237249,554973,63,224,287
2026-03-31,04:30-05:00,Saving,TELL,Offline,Off-Us,553105,482344,70761,224,15,239
2026-03-31,04:30-05:00,Current,ATM,Offline,On-Us,216617,418860,-202243,291,112,403
2026-03-31,04:30-05:00,Current,ATM,Offline,Off-Us,456641,606867,-150226,13,25,38
2026-03-31,04:30-05:00,Current,BCMS,Online,On-Us,323339,512067,-188728,101,60,161
2026-03-31,04:30-05:00,Current,BCMS,Online,Off-Us,598848,383940,214908,187,220,407
2026-03-31,04:30-05:00,Current,ENET,Online,On-Us,578402,565552,12850,200,214,414
2026-03-31,04:30-05:00,Current,ENET,Online,Off-Us,652721,686709,-33988,276,273,549
2026-03-31,04:30-05:00,Current,TELL,Offline,On-Us,337303,524960,-187657,98,26,124
2026-03-31,04:30-05:00,Current,TELL,Offline,Off-Us,594561,273089,321472,103,267,370
