Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-04-30,14:30-15:00,Fixed,ATM,Offline,On-Us,762369880,777506508,-15136628,4975,3637,8612
2026-04-30,14:30-15:00,Fixed,ATM,Offline,Off-Us,716808892,744283824,-27474932,3743,4565,8308
2026-04-30,14:30-15:00,Fixed,BCMS,Online,On-Us,344643014,363832306,-19189292,4803,4905,9708
2026-04-30,14:30-15:00,Fixed,BCMS,Online,Off-Us,258892736,283649310,-24756574,3116,1276,4392
2026-04-30,14:30-15:00,Fixed,ENET,Online,On-Us,658567684,682055575,-23487891,1881,4589,6470
2026-04-30,14:30-15:00,Fixed,ENET,Online,Off-Us,238997326,259457809,-20460483,982,2414,3396
2026-04-30,14:30-15:00,Fixed,TELL,Offline,On-Us,692496706,709737160,-17240454,1742,1054,2796
2026-04-30,14:30-15:00,Fixed,TELL,Offline,Off-Us,680386403,708377075,-27990672,4566,1795,6361
2026-04-30,14:30-15:00,Saving,ATM,Offline,On-Us,510762010,525928523,-15166513,3569,2722,6291
2026-04-30,14:30-15:00,Saving,ATM,Offline,Off-Us,674421248,703583719,-29162471,3572,4273,7845
2026-04-30,14:30-15:00,Saving,BCMS,Online,On-Us,493622411,513674395,-20051984,2861,2320,5181
2026-04-30,14:30-15:00,Saving,BCMS,Online,Off-Us,498472027,529472503,-31000476,2045,2300,4345
2026-04-30,14:30-15:00,Saving,ENET,Online,On-Us,338226758,360261508,-22034750,3302,1012,4314
2026-04-30,14:30-15:00,Saving,ENET,Online,Off-Us,473821173,490539489,-16718316,4035,2396,6431
2026-04-30,14:30-15:00,Saving,TELL,Offline,On-Us,377797485,404649354,-26851869,2596,2984,5580
2026-04-30,14:30-15:00,Saving,TELL,Offline,Off-Us,280117291,307557240,-27439949,4442,4509,8951
2026-04-30,14:30-15:00,Current,ATM,Offline,On-Us,608493399,637586007,-29092608,2518,1315,3833
2026-04-30,14:30-15:00,Current,ATM,Offline,Off-Us,210465140,231353936,-20888796,4867,2317,7184
2026-04-30,14:30-15:00,Current,BCMS,Online,On-Us,580448391,608346610,-27898219,2914,1525,4439
2026-04-30,14:30-15:00,Current,BCMS,Online,Off-Us,203921416,223259696,-19338280,4617,4803,9420
2026-04-30,14:30-15:00,Current,ENET,Online,On-Us,617110380,643596503,-26486123,3093,3205,6298
2026-04-30,14:30-15:00,Current,ENET,Online,Off-Us,495072938,526452052,-31379114,3873,2111,5984
2026-04-30,14:30-15:00,Current,TELL,Offline,On-Us,293837420,319407020,-25569600,4110,3129,7239
2026-04-30,14:30-15:00,Current,TELL,Offline,Off-Us,301879812,319286041,-17406229,4757,4120,8877
