Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-04-30,10:00-10:30,Fixed,ATM,Offline,On-Us,366911278,381835290,-14924012,3074,2664,5738
2026-04-30,10:00-10:30,Fixed,ATM,Offline,Off-Us,500330428,513080438,-12750010,4717,3141,7858
2026-04-30,10:00-10:30,Fixed,BCMS,Online,On-Us,348030181,360534159,-12503978,4028,2430,6458
2026-04-30,10:00-10:30,Fixed,BCMS,Online,Off-Us,451784751,464138708,-12353957,3365,2440,5805
2026-04-30,10:00-10:30,Fixed,ENET,Online,On-Us,456593904,470009981,-13416077,4485,1540,6025
2026-04-30,10:00-10:30,Fixed,ENET,Online,Off-Us,289251594,304373600,-15122006,2791,3012,5803
2026-04-30,10:00-10:30,Fixed,TELL,Offline,On-Us,228692362,240500212,-11807850,1319,2129,3448
2026-04-30,10:00-10:30,Fixed,TELL,Offline,Off-Us,407155907,424874855,-17718948,4681,3363,8044
2026-04-30,10:00-10:30,Saving,ATM,Offline,On-Us,534672420,548326029,-13653609,1257,1350,2607
2026-04-30,10:00-10:30,Saving,ATM,Offline,Off-Us,616536903,629409794,-12872891,4799,922,5721
2026-04-30,10:00-10:30,Saving,BCMS,Online,On-Us,318904748,327969945,-9065197,4981,4107,9088
2026-04-30,10:00-10:30,Saving,BCMS,Online,Off-Us,503963773,518201012,-14237239,2294,1527,3821
2026-04-30,10:00-10:30,Saving,ENET,Online,On-Us,762305988,779410838,-17104850,4923,1148,6071
2026-04-30,10:00-10:30,Saving,ENET,Online,Off-Us,779000297,796185371,-17185074,3124,1621,4745
2026-04-30,10:00-10:30,Saving,TELL,Offline,On-Us,215250993,229233690,-13982697,3069,988,4057
2026-04-30,10:00-10:30,Saving,TELL,Offline,Off-Us,745271642,755793390,-10521748,4327,4694,9021
2026-04-30,10:00-10:30,Current,ATM,Offline,On-Us,627746834,642622319,-14875485,4048,1008,5056
2026-04-30,10:00-10:30,Current,ATM,Offline,Off-Us,420244809,430849111,-10604302,3229,1858,5087
2026-04-30,10:00-10:30,Current,BCMS,Online,On-Us,637156703,649886577,-12729874,1721,2182,3903
2026-04-30,10:00-10:30,Current,BCMS,Online,Off-Us,200652041,215589707,-14937666,1077,2162,3239
2026-04-30,10:00-10:30,Current,ENET,Online,On-Us,560910673,574373659,-13462986,1499,4640,6139
2026-04-30,10:00-10:30,Current,ENET,Online,Off-Us,311466420,325242402,-13775982,3623,3889,7512
2026-04-30,10:00-10:30,Current,TELL,Offline,On-Us,785325518,794275983,-8950465,4770,4919,9689
2026-04-30,10:00-10:30,Current,TELL,Offline,Off-Us,333220890,349663988,-16443098,2200,2860,5060
