Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-04-30,07:00-07:30,Fixed,ATM,Offline,On-Us,568681232,580591304,-11910072,4318,1359,5677
2026-04-30,07:00-07:30,Fixed,ATM,Offline,Off-Us,669547305,679139017,-9591712,3381,2853,6234
2026-04-30,07:00-07:30,Fixed,BCMS,Online,On-Us,427200759,445065956,-17865197,1248,4854,6102
2026-04-30,07:00-07:30,Fixed,BCMS,Online,Off-Us,449780332,458925288,-9144956,4720,4848,9568
2026-04-30,07:00-07:30,Fixed,ENET,Online,On-Us,523989360,534299010,-10309650,3806,2904,6710
2026-04-30,07:00-07:30,Fixed,ENET,Online,Off-Us,723025954,738896495,-15870541,3231,3545,6776
2026-04-30,07:00-07:30,Fixed,TELL,Offline,On-Us,724253557,733741821,-9488264,3677,2608,6285
2026-04-30,07:00-07:30,Fixed,TELL,Offline,Off-Us,763305809,778180395,-14874586,2496,2924,5420
2026-04-30,07:00-07:30,Saving,ATM,Offline,On-Us,465948630,476979903,-11031273,2287,868,3155
2026-04-30,07:00-07:30,Saving,ATM,Offline,Off-Us,621973314,632932390,-10959076,2918,2004,4922
2026-04-30,07:00-07:30,Saving,BCMS,Online,On-Us,613670908,634212734,-20541826,1057,2799,3856
2026-04-30,07:00-07:30,Saving,BCMS,Online,Off-Us,694693751,710595375,-15901624,1674,3169,4843
2026-04-30,07:00-07:30,Saving,ENET,Online,On-Us,210788931,222040705,-11251774,4770,1656,6426
2026-04-30,07:00-07:30,Saving,ENET,Online,Off-Us,246865994,262937770,-16071776,1971,3302,5273
2026-04-30,07:00-07:30,Saving,TELL,Offline,On-Us,260263038,271707065,-11444027,4273,4985,9258
2026-04-30,07:00-07:30,Saving,TELL,Offline,Off-Us,617818485,628598171,-10779686,3314,2156,5470
2026-04-30,07:00-07:30,Current,ATM,Offline,On-Us,420739517,437546060,-16806543,1677,3747,5424
2026-04-30,07:00-07:30,Current,ATM,Offline,Off-Us,431999572,449206035,-17206463,1965,1023,2988
2026-04-30,07:00-07:30,Current,BCMS,Online,On-Us,644890731,656912397,-12021666,4824,3111,7935
2026-04-30,07:00-07:30,Current,BCMS,Online,Off-Us,785493636,795395098,-9901462,2731,3615,6346
2026-04-30,07:00-07:30,Current,ENET,Online,On-Us,542113345,557211150,-15097805,4906,3902,8808
2026-04-30,07:00-07:30,Current,ENET,Online,Off-Us,688260964,706889110,-18628146,2228,4192,6420
2026-04-30,07:00-07:30,Current,TELL,Offline,On-Us,390107275,403106880,-12999605,3670,1933,5603
2026-04-30,07:00-07:30,Current,TELL,Offline,Off-Us,362327790,377630063,-15302273,1327,1449,2776
