Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-04-30,03:00-03:30,Fixed,ATM,Offline,On-Us,538520765,546158266,-7637501,2398,4373,6771
2026-04-30,03:00-03:30,Fixed,ATM,Offline,Off-Us,406092491,413640872,-7548381,1066,4106,5172
2026-04-30,03:00-03:30,Fixed,BCMS,Online,On-Us,272214946,280599241,-8384295,2703,2288,4991
2026-04-30,03:00-03:30,Fixed,BCMS,Online,Off-Us,233750171,238773710,-5023539,4345,3157,7502
2026-04-30,03:00-03:30,Fixed,ENET,Online,On-Us,262873351,268412489,-5539138,2352,2486,4838
2026-04-30,03:00-03:30,Fixed,ENET,Online,Off-Us,659266486,664080846,-4814360,1324,3511,4835
2026-04-30,03:00-03:30,Fixed,TELL,Offline,On-Us,357359945,363420730,-6060785,4160,1855,6015
2026-04-30,03:00-03:30,Fixed,TELL,Offline,Off-Us,646957227,650695543,-3738316,4569,3216,7785
2026-04-30,03:00-03:30,Saving,ATM,Offline,On-Us,761492743,768591068,-7098325,4575,4111,8686
2026-04-30,03:00-03:30,Saving,ATM,Offline,Off-Us,796803321,803482493,-6679172,3838,1399,5237
2026-04-30,03:00-03:30,Saving,BCMS,Online,On-Us,596344454,603884903,-7540449,3317,2272,5589
2026-04-30,03:00-03:30,Saving,BCMS,Online,Off-Us,612394762,619036754,-6641992,2496,4747,7243
2026-04-30,03:00-03:30,Saving,ENET,Online,On-Us,316280336,320756918,-4476582,1094,3734,4828
2026-04-30,03:00-03:30,Saving,ENET,Online,Off-Us,515363508,520533588,-5170080,2276,3900,6176
2026-04-30,03:00-03:30,Saving,TELL,Offline,On-Us,681366094,685349988,-3983894,3979,4216,8195
2026-04-30,03:00-03:30,Saving,TELL,Offline,Off-Us,441464540,449775416,-8310876,4321,3003,7324
2026-04-30,03:00-03:30,Current,ATM,Offline,On-Us,664081952,668477171,-4395219,1068,4752,5820
2026-04-30,03:00-03:30,Current,ATM,Offline,Off-Us,221868311,229629163,-7760852,4663,3177,7840
2026-04-30,03:00-03:30,Current,BCMS,Online,On-Us,742944201,748366895,-5422694,1755,2625,4380
2026-04-30,03:00-03:30,Current,BCMS,Online,Off-Us,420396033,425887147,-5491114,1747,4794,6541
2026-04-30,03:00-03:30,Current,ENET,Online,On-Us,581688968,590140097,-8451129,1215,1919,3134
2026-04-30,03:00-03:30,Current,ENET,Online,Off-Us,448564548,456279739,-7715191,4600,2183,6783
2026-04-30,03:00-03:30,Current,TELL,Offline,On-Us,656855771,663362835,-6507064,4447,3276,7723
2026-04-30,03:00-03:30,Current,TELL,Offline,Off-Us,637487027,643096081,-5609054,1075,3248,4323
