Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-03-31,02:00-02:30,Fixed,ATM,Offline,On-Us,402515,452833,-50318,259,188,447
2026-03-31,02:00-02:30,Fixed,ATM,Offline,Off-Us,361040,755578,-394538,296,66,362
2026-03-31,02:00-02:30,Fixed,BCMS,Online,On-Us,827679,603410,224269,111,48,159
2026-03-31,02:00-02:30,Fixed,BCMS,Online,Off-Us,451482,970718,-519236,231,190,421
2026-03-31,02:00-02:30,Fixed,ENET,Online,On-Us,661535,634634,26901,31,273,304
2026-03-31,02:00-02:30,Fixed,ENET,Online,Off-Us,762100,350259,411841,121,58,179
2026-03-31,02:00-02:30,Fixed,TELL,Offline,On-Us,694775,662854,31921,46,140,186
2026-03-31,02:00-02:30,Fixed,TELL,Offline,Off-Us,493382,338684,154698,31,206,237
2026-03-31,02:00-02:30,Saving,ATM,Offline,On-Us,313269,624826,-311557,229,58,287
2026-03-31,02:00-02:30,Saving,ATM,Offline,Off-Us,117607,531528,-413921,97,144,241
2026-03-31,02:00-02:30,Saving,BCMS,Online,On-Us,291625,654229,-362604,164,61,225
2026-03-31,02:00-02:30,Saving,BCMS,Online,Off-Us,400290,656218,-255928,125,246,371
2026-03-31,02:00-02:30,Saving,ENET,Online,On-Us,555300,261975,293325,136,248,384
2026-03-31,02:00-02:30,Saving,ENET,Online,Off-Us,736183,610384,125799,271,49,320
2026-03-31,02:00-02:30,Saving,TELL,Offline,On-Us,655137,497229,157908,230,133,363
2026-03-31,02:00-02:30,Saving,TELL,Offline,Off-Us,680046,142811,537235,280,122,402
2026-03-31,02:00-02:30,Current,ATM,Offline,On-Us,165218,336440,-171222,23,226,249
2026-03-31,02:00-02:30,Current,ATM,Offline,Off-Us,359882,409421,-49539,36,298,334
2026-03-31,02:00-02:30,Current,BCMS,Online,On-Us,301931,546725,-244794,112,12,124
2026-03-31,02:00-02:30,Current,BCMS,Online,Off-Us,323075,582877,-259802,97,165,262
2026-03-31,02:00-02:30,Current,ENET,Online,On-Us,584463,426326,158137,109,13,122
2026-03-31,02:00-02:30,Current,ENET,Online,Off-Us,491328,748333,-257005,50,209,259
2026-03-31,02:00-02:30,Current,TELL,Offline,On-Us,447417,368551,78866,38,95,133
2026-03-31,02:00-02:30,Current,TELL,Offline,Off-Us,640461,527690,112771,231,262,493
