Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-03-31,01:30-02:00,Fixed,ATM,Offline,On-Us,768916,495947,272969,250,64,314
2026-03-31,01:30-02:00,Fixed,ATM,Offline,Off-Us,709761,57417,652344,151,24,175
2026-03-31,01:30-02:00,Fixed,BCMS,Online,On-Us,610330,258050,352280,175,268,443
2026-03-31,01:30-02:00,Fixed,BCMS,Online,Off-Us,600690,184883,415807,201,245,446
2026-03-31,01:30-02:00,Fixed,ENET,Online,On-Us,621144,300597,320547,164,51,215
2026-03-31,01:30-02:00,Fixed,ENET,Online,Off-Us,428467,637928,-209461,172,94,266
2026-03-31,01:30-02:00,Fixed,TELL,Offline,On-Us,767845,804237,-36392,186,246,432
2026-03-31,01:30-02:00,Fixed,TELL,Offline,Off-Us,309246,97740,211506,147,132,279
2026-03-31,01:30-02:00,Saving,ATM,Offline,On-Us,323286,201528,121758,123,171,294
2026-03-31,01:30-02:00,Saving,ATM,Offline,Off-Us,344609,425942,-81333,53,53,106
2026-03-31,01:30-02:00,Saving,BCMS,Online,On-Us,0,180153,-180153,210,262,472
2026-03-31,01:30-02:00,Saving,BCMS,Online,Off-Us,0,388723,-388723,44,188,232
2026-03-31,01:30-02:00,Saving,ENET,Online,On-Us,277617,676413,-398796,263,190,453
2026-03-31,01:30-02:00,Saving,ENET,Online,Off-Us,996545,752634,243911,154,167,321
2026-03-31,01:30-02:00,Saving,TELL,Offline,On-Us,582742,349281,233461,162,285,447
2026-03-31,01:30-02:00,Saving,TELL,Offline,Off-Us,286392,657218,-370826,220,125,345
2026-03-31,01:30-02:00,Current,ATM,Offline,On-Us,604253,693717,-89464,112,155,267
2026-03-31,01:30-02:00,Current,ATM,Offline,Off-Us,782345,965396,-183051,275,193,468
2026-03-31,01:30-02:00,Current,BCMS,Online,On-Us,604248,492962,111286,183,63,246
2026-03-31,01:30-02:00,Current,BCMS,Online,Off-Us,104992,619903,-514911,62,215,277
2026-03-31,01:30-02:00,Current,ENET,Online,On-Us,545176,720726,-175550,46,177,223
2026-03-31,01:30-02:00,Current,ENET,Online,Off-Us,146701,72986,73715,231,254,485
2026-03-31,01:30-02:00,Current,TELL,Offline,On-Us,640504,634981,5523,248,35,283
2026-03-31,01:30-02:00,Current,TELL,Offline,Off-Us,604492,456378,148114,123,137,260
