Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-03-31,00:30-01:00,Fixed,ATM,Offline,On-Us,280449,697094,-416645,291,155,446
2026-03-31,00:30-01:00,Fixed,ATM,Offline,Off-Us,567633,258988,308645,171,26,197
2026-03-31,00:30-01:00,Fixed,BCMS,Online,On-Us,538138,536786,1352,32,125,157
2026-03-31,00:30-01:00,Fixed,BCMS,Online,Off-Us,193000,419229,-226229,233,100,333
2026-03-31,00:30-01:00,Fixed,ENET,Online,On-Us,507900,285302,222598,164,234,398
2026-03-31,00:30-01:00,Fixed,ENET,Online,Off-Us,554795,0,554795,184,280,464
2026-03-31,00:30-01:00,Fixed,TELL,Offline,On-Us,231653,102413,129240,287,38,325
2026-03-31,00:30-01:00,Fixed,TELL,Offline,Off-Us,572400,776907,-204507,237,28,265
2026-03-31,00:30-01:00,Saving,ATM,Offline,On-Us,572416,273487,298929,185,39,224
2026-03-31,00:30-01:00,Saving,ATM,Offline,Off-Us,630087,453024,177063,155,28,183
2026-03-31,00:30-01:00,Saving,BCMS,Online,On-Us,706807,634884,71923,298,245,543
2026-03-31,00:30-01:00,Saving,BCMS,Online,Off-Us,168732,339465,-170733,286,294,580
2026-03-31,00:30-01:00,Saving,ENET,Online,On-Us,469479,648397,-178918,221,259,480
2026-03-31,00:30-01:00,Saving,ENET,Online,Off-Us,618881,433367,185514,23,253,276
2026-03-31,00:30-01:00,Saving,TELL,Offline,On-Us,357457,393472,-36015,201,58,259
2026-03-31,00:30-01:00,Saving,TELL,Offline,Off-Us,453886,765251,-311365,281,87,368
2026-03-31,00:30-01:00,Current,ATM,Offline,On-Us,382206,327802,54404,16,48,64
2026-03-31,00:30-01:00,Current,ATM,Offline,Off-Us,787026,711836,75190,14,207,221
2026-03-31,00:30-01:00,Current,BCMS,Online,On-Us,532838,664523,-131685,152,149,301
2026-03-31,00:30-01:00,Current,BCMS,Online,Off-Us,668578,174922,493656,288,280,568
2026-03-31,00:30-01:00,Current,ENET,Online,On-Us,162358,431055,-268697,272,265,537
2026-03-31,00:30-01:00,Current,ENET,Online,Off-Us,332674,155822,176852,81,192,273
2026-03-31,00:30-01:00,Current,TELL,Offline,On-Us,246661,405097,-158436,208,73,281
2026-03-31,00:30-01:00,Current,TELL,Offline,Off-Us,670556,737372,-66816,102,198,300
