Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-03-31,03:00-03:30,Fixed,ATM,Offline,On-Us,618328,0,618328,110,246,356
2026-03-31,03:00-03:30,Fixed,ATM,Offline,Off-Us,842669,733668,109001,177,291,468
2026-03-31,03:00-03:30,Fixed,BCMS,Online,On-Us,345889,470659,-124770,144,100,244
2026-03-31,03:00-03:30,Fixed,BCMS,Online,Off-Us,721591,255896,465695,233,270,503
2026-03-31,03:00-03:30,Fixed,ENET,Online,On-Us,565245,465103,100142,162,275,437
2026-03-31,03:00-03:30,Fixed,ENET,Online,Off-Us,487699,562357,-74658,87,146,233
2026-03-31,03:00-03:30,Fixed,TELL,Offline,On-Us,192490,490097,-297607,23,276,299
2026-03-31,03:00-03:30,Fixed,TELL,Offline,Off-Us,642373,474842,167531,141,72,213
2026-03-31,03:00-03:30,Saving,ATM,Offline,On-Us,798551,463630,334921,259,162,421
2026-03-31,03:00-03:30,Saving,ATM,Offline,Off-Us,725490,280681,444809,279,272,551
2026-03-31,03:00-03:30,Saving,BCMS,Online,On-Us,436327,552056,-115729,46,71,117
2026-03-31,03:00-03:30,Saving,BCMS,Online,Off-Us,449692,564593,-114901,233,230,463
2026-03-31,03:00-03:30,Saving,ENET,Online,On-Us,577328,558761,18567,298,47,345
2026-03-31,03:00-03:30,Saving,ENET,Online,Off-Us,556248,492607,63641,291,32,323
2026-03-31,03:00-03:30,Saving,TELL,Offline,On-Us,633877,857059,-223182,65,80,145
2026-03-31,03:00-03:30,Saving,TELL,Offline,Off-Us,403120,499705,-96585,67,22,89
2026-03-31,03:00-03:30,Current,ATM,Offline,On-Us,547138,128389,418749,256,140,396
2026-03-31,03:00-03:30,Current,ATM,Offline,Off-Us,589025,442602,146423,215,254,469
2026-03-31,03:00-03:30,Current,BCMS,Online,On-Us,716792,761249,-44457,139,18,157
2026-03-31,03:00-03:30,Current,BCMS,Online,Off-Us,360751,522476,-161725,256,235,491
2026-03-31,03:00-03:30,Current,ENET,Online,On-Us,358983,542477,-183494,207,271,478
2026-03-31,03:00-03:30,Current,ENET,Online,Off-Us,594932,764644,-169712,280,50,330
2026-03-31,03:00-03:30,Current,TELL,Offline,On-Us,509740,422786,86954,184,207,391
2026-03-31,03:00-03:30,Current,TELL,Offline,Off-Us,502120,545092,-42972,28,269,297
