Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-03-31,05:30-06:00,Fixed,ATM,Offline,On-Us,378457,444807,-66350,74,265,339
2026-03-31,05:30-06:00,Fixed,ATM,Offline,Off-Us,403822,563823,-160001,299,58,357
2026-03-31,05:30-06:00,Fixed,BCMS,Online,On-Us,561209,866396,-305187,293,47,340
2026-03-31,05:30-06:00,Fixed,BCMS,Online,Off-Us,399927,550607,-150680,53,159,212
2026-03-31,05:30-06:00,Fixed,ENET,Online,On-Us,1067220,514882,552338,84,92,176
2026-03-31,05:30-06:00,Fixed,ENET,Online,Off-Us,847908,610373,237535,147,295,442
2026-03-31,05:30-06:00,Fixed,TELL,Offline,On-Us,471659,636878,-165219,263,100,363
2026-03-31,05:30-06:00,Fixed,TELL,Offline,Off-Us,545455,601676,-56221,172,200,372
2026-03-31,05:30-06:00,Saving,ATM,Offline,On-Us,1006464,245623,760841,111,288,399
2026-03-31,05:30-06:00,Saving,ATM,Offline,Off-Us,609490,337454,272036,202,159,361
2026-03-31,05:30-06:00,Saving,BCMS,Online,On-Us,777827,450453,327374,188,108,296
2026-03-31,05:30-06:00,Saving,BCMS,Online,Off-Us,804181,455403,348778,189,95,284
2026-03-31,05:30-06:00,Saving,ENET,Online,On-Us,491668,259251,232417,111,189,300
2026-03-31,05:30-06:00,Saving,ENET,Online,Off-Us,673144,599613,73531,238,228,466
2026-03-31,05:30-06:00,Saving,TELL,Offline,On-Us,0,0,0,93,296,389
2026-03-31,05:30-06:00,Saving,TELL,Offline,Off-Us,269726,551016,-281290,150,29,179
2026-03-31,05:30-06:00,Current,ATM,Offline,On-Us,702225,705860,-3635,292,216,508
2026-03-31,05:30-06:00,Current,ATM,Offline,Off-Us,465531,456667,8864,277,266,543
2026-03-31,05:30-06:00,Current,BCMS,Online,On-Us,643549,603266,40283,256,132,388
2026-03-31,05:30-06:00,Current,BCMS,Online,Off-Us,275797,0,275797,216,269,485
2026-03-31,05:30-06:00,Current,ENET,Online,On-Us,578950,829760,-250810,230,198,428
2026-03-31,05:30-06:00,Current,ENET,Online,Off-Us,212293,782852,-570559,254,288,542
2026-03-31,05:30-06:00,Current,TELL,Offline,On-Us,699221,353597,345624,99,170,269
2026-03-31,05:30-06:00,Current,TELL,Offline,Off-Us,602027,383392,218635,214,137,351
