Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-03-31,05:00-05:30,Fixed,ATM,Offline,On-Us,610664,761209,-150545,23,133,156
2026-03-31,05:00-05:30,Fixed,ATM,Offline,Off-Us,665119,346432,318687,116,73,189
2026-03-31,05:00-05:30,Fixed,BCMS,Online,On-Us,647001,428159,218842,68,93,161
2026-03-31,05:00-05:30,Fixed,BCMS,Online,Off-Us,560430,845498,-285068,225,21,246
2026-03-31,05:00-05:30,Fixed,ENET,Online,On-Us,481330,392652,88678,65,222,287
2026-03-31,05:00-05:30,Fixed,ENET,Online,Off-Us,497850,509916,-12066,208,276,484
2026-03-31,05:00-05:30,Fixed,TELL,Offline,On-Us,48703,647639,-598936,71,225,296
2026-03-31,05:00-05:30,Fixed,TELL,Offline,Off-Us,269130,811029,-541899,37,72,109
2026-03-31,05:00-05:30,Saving,ATM,Offline,On-Us,220410,366552,-146142,36,247,283
2026-03-31,05:00-05:30,Saving,ATM,Offline,Off-Us,599508,504757,94751,265,204,469
2026-03-31,05:00-05:30,Saving,BCMS,Online,On-Us,314998,648801,-333803,188,168,356
2026-03-31,05:00-05:30,Saving,BCMS,Online,Off-Us,565208,485124,80084,145,179,324
2026-03-31,05:00-05:30,Saving,ENET,Online,On-Us,363475,636075,-272600,282,285,567
2026-03-31,05:00-05:30,Saving,ENET,Online,Off-Us,454689,569622,-114933,205,207,412
2026-03-31,05:00-05:30,Saving,TELL,Offline,On-Us,576889,334777,242112,61,119,180
2026-03-31,05:00-05:30,Saving,TELL,Offline,Off-Us,311441,445430,-133989,300,184,484
2026-03-31,05:00-05:30,Current,ATM,Offline,On-Us,531583,492446,39137,289,150,439
2026-03-31,05:00-05:30,Current,ATM,Offline,Off-Us,687754,891913,-204159,40,177,217
2026-03-31,05:00-05:30,Current,BCMS,Online,On-Us,721335,689493,31842,126,99,225
2026-03-31,05:00-05:30,Current,BCMS,Online,Off-Us,514244,683978,-169734,66,288,354
2026-03-31,05:00-05:30,Current,ENET,Online,On-Us,373479,593639,-220160,198,50,248
2026-03-31,05:00-05:30,Current,ENET,Online,Off-Us,393743,14158,379585,25,237,262
2026-03-31,05:00-05:30,Current,TELL,Offline,On-Us,490654,1033011,-542357,260,73,333
2026-03-31,05:00-05:30,Current,TELL,Offline,Off-Us,887315,538459,348856,92,291,383
