Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-04-28,12:30-13:00,Fixed,ATM,Offline,On-Us,641804,995889,-354085,93,204,297
2026-04-28,12:30-13:00,Fixed,ATM,Offline,Off-Us,577079,399095,177984,34,98,132
2026-04-28,12:30-13:00,Fixed,BCMS,Online,On-Us,956566,351475,605091,88,94,182
2026-04-28,12:30-13:00,Fixed,BCMS,Online,Off-Us,911022,151631,759391,103,37,140
2026-04-28,12:30-13:00,Fixed,ENET,Online,On-Us,439963,323026,116937,170,239,409
2026-04-28,12:30-13:00,Fixed,ENET,Online,Off-Us,302808,656883,-354075,104,71,175
2026-04-28,12:30-13:00,Fixed,TELL,Offline,On-Us,942189,137962,804227,115,12,127
2026-04-28,12:30-13:00,Fixed,TELL,Offline,Off-Us,652801,802575,-149774,141,17,158
2026-04-28,12:30-13:00,Saving,ATM,Offline,On-Us,480921,521800,-40879,267,289,556
2026-04-28,12:30-13:00,Saving,ATM,Offline,Off-Us,846677,6029,840648,264,132,396
2026-04-28,12:30-13:00,Saving,BCMS,Online,On-Us,227408,617466,-390058,255,243,498
2026-04-28,12:30-13:00,Saving,BCMS,Online,Off-Us,430074,463339,-33265,52,14,66
2026-04-28,12:30-13:00,Saving,ENET,Online,On-Us,256600,925020,-668420,292,153,445
2026-04-28,12:30-13:00,Saving,ENET,Online,Off-Us,649871,659172,-9301,297,117,414
2026-04-28,12:30-13:00,Saving,TELL,Offline,On-Us,51295,193818,-142523,87,39,126
2026-04-28,12:30-13:00,Saving,TELL,Offline,Off-Us,685010,365973,319037,30,85,115
2026-04-28,12:30-13:00,Current,ATM,Offline,On-Us,895304,34007,861297,164,180,344
2026-04-28,12:30-13:00,Current,ATM,Offline,Off-Us,965093,91962,873131,37,66,103
2026-04-28,12:30-13:00,Current,BCMS,Online,On-Us,437211,186906,250305,94,156,250
2026-04-28,12:30-13:00,Current,BCMS,Online,Off-Us,640774,693029,-52255,299,101,400
2026-04-28,12:30-13:00,Current,ENET,Online,On-Us,477456,785734,-308278,196,29,225
2026-04-28,12:30-13:00,Current,ENET,Online,Off-Us,97649,805843,-708194,165,176,341
2026-04-28,12:30-13:00,Current,TELL,Offline,On-Us,386473,941128,-554655,206,45,251
2026-04-28,12:30-13:00,Current,TELL,Offline,Off-Us,795284,448081,347203,293,44,337
