Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-04-28,15:30-16:00,Fixed,ATM,Offline,On-Us,836866,607784,229082,171,38,209
2026-04-28,15:30-16:00,Fixed,ATM,Offline,Off-Us,947477,360234,587243,285,16,301
2026-04-28,15:30-16:00,Fixed,BCMS,Online,On-Us,491644,476089,15555,274,251,525
2026-04-28,15:30-16:00,Fixed,BCMS,Online,Off-Us,601846,769460,-167614,181,226,407
2026-04-28,15:30-16:00,Fixed,ENET,Online,On-Us,370057,1007242,-637185,162,159,321
2026-04-28,15:30-16:00,Fixed,ENET,Online,Off-Us,175645,37042,138603,167,299,466
2026-04-28,15:30-16:00,Fixed,TELL,Offline,On-Us,273094,64401,208693,254,97,351
2026-04-28,15:30-16:00,Fixed,TELL,Offline,Off-Us,600687,54127,546560,161,24,185
2026-04-28,15:30-16:00,Saving,ATM,Offline,On-Us,300748,508307,-207559,54,75,129
2026-04-28,15:30-16:00,Saving,ATM,Offline,Off-Us,530155,80595,449560,154,140,294
2026-04-28,15:30-16:00,Saving,BCMS,Online,On-Us,138976,645710,-506734,155,151,306
2026-04-28,15:30-16:00,Saving,BCMS,Online,Off-Us,899529,269437,630092,19,68,87
2026-04-28,15:30-16:00,Saving,ENET,Online,On-Us,633152,183095,450057,89,239,328
2026-04-28,15:30-16:00,Saving,ENET,Online,Off-Us,387728,847082,-459354,101,144,245
2026-04-28,15:30-16:00,Saving,TELL,Offline,On-Us,820539,734815,85724,132,259,391
2026-04-28,15:30-16:00,Saving,TELL,Offline,Off-Us,189592,838202,-648610,282,27,309
2026-04-28,15:30-16:00,Current,ATM,Offline,On-Us,359502,88501,271001,86,89,175
2026-04-28,15:30-16:00,Current,ATM,Offline,Off-Us,878302,520039,358263,223,207,430
2026-04-28,15:30-16:00,Current,BCMS,Online,On-Us,249505,692759,-443254,237,96,333
2026-04-28,15:30-16:00,Current,BCMS,Online,Off-Us,221099,605822,-384723,188,38,226
2026-04-28,15:30-16:00,Current,ENET,Online,On-Us,673459,277238,396221,71,37,108
2026-04-28,15:30-16:00,Current,ENET,Online,Off-Us,175741,486554,-310813,216,254,470
2026-04-28,15:30-16:00,Current,TELL,Offline,On-Us,316006,499401,-183395,284,130,414
2026-04-28,15:30-16:00,Current,TELL,Offline,Off-Us,398249,716712,-318463,211,253,464
