Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-04-28,18:00-18:30,Fixed,ATM,Offline,On-Us,393774,934664,-540890,124,48,172
2026-04-28,18:00-18:30,Fixed,ATM,Offline,Off-Us,493869,613513,-119644,260,38,298
2026-04-28,18:00-18:30,Fixed,BCMS,Online,On-Us,933745,457037,476708,86,121,207
2026-04-28,18:00-18:30,Fixed,BCMS,Online,Off-Us,972960,639037,333923,244,102,346
2026-04-28,18:00-18:30,Fixed,ENET,Online,On-Us,406145,391627,14518,81,245,326
2026-04-28,18:00-18:30,Fixed,ENET,Online,Off-Us,754787,203586,551201,195,149,344
2026-04-28,18:00-18:30,Fixed,TELL,Offline,On-Us,212033,352207,-140174,77,27,104
2026-04-28,18:00-18:30,Fixed,TELL,Offline,Off-Us,725835,596289,129546,42,154,196
2026-04-28,18:00-18:30,Saving,ATM,Offline,On-Us,143132,116506,26626,250,245,495
2026-04-28,18:00-18:30,Saving,ATM,Offline,Off-Us,438539,179517,259022,187,123,310
2026-04-28,18:00-18:30,Saving,BCMS,Online,On-Us,929467,309499,619968,92,98,190
2026-04-28,18:00-18:30,Saving,BCMS,Online,Off-Us,606204,579606,26598,129,55,184
2026-04-28,18:00-18:30,Saving,ENET,Online,On-Us,431694,898602,-466908,279,261,540
2026-04-28,18:00-18:30,Saving,ENET,Online,Off-Us,904081,226956,677125,254,247,501
2026-04-28,18:00-18:30,Saving,TELL,Offline,On-Us,292731,15208,277523,231,137,368
2026-04-28,18:00-18:30,Saving,TELL,Offline,Off-Us,259870,343194,-83324,234,124,358
2026-04-28,18:00-18:30,Current,ATM,Offline,On-Us,935143,972532,-37389,88,13,101
2026-04-28,18:00-18:30,Current,ATM,Offline,Off-Us,438065,46372,391693,32,251,283
2026-04-28,18:00-18:30,Current,BCMS,Online,On-Us,769105,805942,-36837,270,28,298
2026-04-28,18:00-18:30,Current,BCMS,Online,Off-Us,446376,556921,-110545,213,256,469
2026-04-28,18:00-18:30,Current,ENET,Online,On-Us,849049,836782,12267,62,242,304
2026-04-28,18:00-18:30,Current,ENET,Online,Off-Us,519344,252194,267150,54,296,350
2026-04-28,18:00-18:30,Current,TELL,Offline,On-Us,789660,13026,776634,220,122,342
2026-04-28,18:00-18:30,Current,TELL,Offline,Off-Us,139158,375815,-236657,163,133,296
