Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-05-02,21:00-21:30,Fixed,ATM,Offline,On-Us,4913,359782,-354869,139,162,301
2026-05-02,21:00-21:30,Fixed,ATM,Offline,Off-Us,185691,546559,-360868,54,204,258
2026-05-02,21:00-21:30,Fixed,BCMS,Online,On-Us,846450,267268,579182,143,46,189
2026-05-02,21:00-21:30,Fixed,BCMS,Online,Off-Us,856686,739031,117655,223,50,273
2026-05-02,21:00-21:30,Fixed,ENET,Online,On-Us,36660,936694,-900034,65,247,312
2026-05-02,21:00-21:30,Fixed,ENET,Online,Off-Us,1005479,994878,10601,177,115,292
2026-05-02,21:00-21:30,Fixed,TELL,Offline,On-Us,351023,561421,-210398,165,220,385
2026-05-02,21:00-21:30,Fixed,TELL,Offline,Off-Us,868467,278502,589965,33,202,235
2026-05-02,21:00-21:30,Saving,ATM,Offline,On-Us,130484,39293,91191,108,297,405
2026-05-02,21:00-21:30,Saving,ATM,Offline,Off-Us,573427,1281,572146,81,262,343
2026-05-02,21:00-21:30,Saving,BCMS,Online,On-Us,224388,8674,215714,147,84,231
2026-05-02,21:00-21:30,Saving,BCMS,Online,Off-Us,510243,440085,70158,118,227,345
2026-05-02,21:00-21:30,Saving,ENET,Online,On-Us,140845,978978,-838133,272,63,335
2026-05-02,21:00-21:30,Saving,ENET,Online,Off-Us,276087,664545,-388458,144,149,293
2026-05-02,21:00-21:30,Saving,TELL,Offline,On-Us,475306,121696,353610,282,128,410
2026-05-02,21:00-21:30,Saving,TELL,Offline,Off-Us,620733,332386,288347,120,22,142
2026-05-02,21:00-21:30,Current,ATM,Offline,On-Us,603292,431763,171529,34,225,259
2026-05-02,21:00-21:30,Current,ATM,Offline,Off-Us,519356,421665,97691,145,12,157
2026-05-02,21:00-21:30,Current,BCMS,Online,On-Us,597339,182138,415201,100,269,369
2026-05-02,21:00-21:30,Current,BCMS,Online,Off-Us,562646,800620,-237974,154,271,425
2026-05-02,21:00-21:30,Current,ENET,Online,On-Us,476414,802434,-326020,150,174,324
2026-05-02,21:00-21:30,Current,ENET,Online,Off-Us,791044,1007593,-216549,191,68,259
2026-05-02,21:00-21:30,Current,TELL,Offline,On-Us,897244,741250,155994,133,179,312
2026-05-02,21:00-21:30,Current,TELL,Offline,Off-Us,563753,784981,-221228,244,80,324
